Id,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
301,ANA,AL,2002,851,644,99,0.341,0.433,0.282,1,3,1,162,0.314,0.392
302,ARI,NL,2002,819,674,98,0.346,0.423,0.267,1,4,4,162,0.305,0.397
303,ATL,NL,2002,708,565,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364
304,BAL,AL,2002,667,773,67,0.309,0.403,0.246,0,,,162,0.336,0.435
305,BOS,AL,2002,859,665,93,0.345,0.444,0.277,0,,,162,0.308,0.385
306,CHC,NL,2002,706,759,67,0.321,0.413,0.246,0,,,162,0.331,0.407
307,CHW,AL,2002,856,798,81,0.338,0.449,0.268,0,,,162,0.33,0.423
308,CIN,NL,2002,709,774,78,0.33,0.408,0.253,0,,,162,0.338,0.426
309,CLE,AL,2002,739,837,74,0.321,0.412,0.249,0,,,162,0.348,0.423
310,COL,NL,2002,778,898,73,0.337,0.423,0.274,0,,,162,0.349,0.466
311,DET,AL,2002,575,864,55,0.3,0.379,0.248,0,,,161,0.343,0.455
312,FLA,NL,2002,699,763,79,0.337,0.403,0.261,0,,,162,0.341,0.415
313,HOU,NL,2002,749,695,84,0.338,0.417,0.262,0,,,162,0.33,0.41
314,KCR,AL,2002,737,891,62,0.323,0.398,0.256,0,,,162,0.349,0.464
315,LAD,NL,2002,713,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387
316,MIL,NL,2002,627,821,56,0.32,0.39,0.253,0,,,162,0.352,0.442
317,MIN,AL,2002,768,712,94,0.332,0.437,0.272,1,7,3,161,0.318,0.421
318,MON,NL,2002,735,718,83,0.334,0.418,0.261,0,,,162,0.329,0.421
319,NYM,NL,2002,690,703,75,0.322,0.395,0.256,0,,,161,0.327,0.403
320,NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395
321,OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,1,4,162,0.315,0.384
322,PHI,NL,2002,710,724,80,0.339,0.422,0.259,0,,,161,0.328,0.401
323,PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423
324,SDP,NL,2002,662,815,66,0.321,0.381,0.253,0,,,162,0.346,0.442
325,SEA,AL,2002,814,699,93,0.35,0.419,0.275,0,,,162,0.315,0.41
326,SFG,NL,2002,783,616,95,0.344,0.442,0.267,1,6,2,162,0.319,0.372
327,STL,NL,2002,787,648,97,0.338,0.425,0.268,1,5,3,162,0.323,0.386
328,TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,,,161,0.357,0.463
329,TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451
330,TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
331,ANA,AL,2001,691,730,75,0.327,0.405,0.261,0,,,162,0.331,0.412
332,ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404
333,ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384
334,BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
335,BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393
336,CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398
337,CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427
338,CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
339,CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417
340,COL,NL,2001,923,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48
341,DET,AL,2001,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461
342,FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,,,162,0.338,0.411
343,HOU,NL,2001,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437
344,KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
345,LAD,NL,2001,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411
346,MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44
347,MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437
348,MON,NL,2001,670,812,68,0.319,0.396,0.253,0,,,162,0.339,0.441
349,NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419
350,NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398
351,OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38
352,PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424
353,PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433
354,SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45
355,SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378
356,SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404
357,STL,NL,2001,814,684,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428
358,TBD,AL,2001,672,887,62,0.32,0.388,0.258,0,,,162,0.345,0.452
359,TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494
360,TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,,,162,0.339,0.435
361,ANA,AL,2000,864,869,82,0.352,0.472,0.28,0,,,162,0.351,0.453
362,ARI,NL,2000,792,754,85,0.333,0.429,0.265,0,,,162,0.326,0.424
363,ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402
364,BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.352,0.449
365,BOS,AL,2000,792,745,85,0.341,0.423,0.267,0,,,162,0.322,0.411
366,CHC,NL,2000,764,904,65,0.335,0.411,0.256,0,,,162,0.348,0.452
367,CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434
368,CIN,NL,2000,825,765,85,0.343,0.447,0.274,0,,,163,0.341,0.438
369,CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425
370,COL,NL,2000,968,897,82,0.362,0.455,0.294,0,,,162,0.354,0.471
371,DET,AL,2000,823,827,79,0.343,0.438,0.275,0,,,162,0.34,0.443
372,FLA,NL,2000,731,797,79,0.331,0.409,0.262,0,,,161,0.348,0.429
373,HOU,NL,2000,938,944,72,0.361,0.477,0.278,0,,,162,0.353,0.476
374,KCR,AL,2000,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474
375,LAD,NL,2000,798,729,86,0.341,0.431,0.257,0,,,162,0.332,0.407
376,MIL,NL,2000,740,826,73,0.325,0.403,0.246,0,,,163,0.357,0.42
377,MIN,AL,2000,748,880,69,0.337,0.407,0.27,0,,,162,0.347,0.466
378,MON,NL,2000,738,902,67,0.326,0.432,0.266,0,,,162,0.353,0.449
379,NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403
380,NYY,AL,2000,871,814,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422
381,OAK,AL,2000,947,813,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423
382,PHI,NL,2000,708,830,65,0.329,0.4,0.251,0,,,162,0.343,0.448
383,PIT,NL,2000,793,888,69,0.339,0.424,0.267,0,,,162,0.361,0.432
384,SDP,NL,2000,752,815,76,0.33,0.402,0.254,0,,,162,0.34,0.416
385,SEA,AL,2000,907,780,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416
386,SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412
387,STL,NL,2000,887,771,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434
388,TBD,AL,2000,733,842,69,0.329,0.399,0.257,0,,,161,0.345,0.451
389,TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475
390,TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456
391,ANA,AL,1999,711,826,70,0.322,0.395,0.256,0,,,162,0.346,0.427
392,ARI,NL,1999,908,676,100,0.347,0.459,0.277,1,2,4,162,0.32,0.402
393,ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377
394,BAL,AL,1999,851,815,78,0.353,0.447,0.279,0,,,162,0.35,0.441
395,BOS,AL,1999,836,718,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398
396,CHC,NL,1999,747,920,67,0.329,0.42,0.257,0,,,162,0.346,0.467
397,CHW,AL,1999,777,870,75,0.337,0.429,0.277,0,,,162,0.353,0.447
398,CIN,NL,1999,865,711,96,0.341,0.451,0.272,0,,,163,0.324,0.411
399,CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439
400,COL,NL,1999,906,1028,72,0.348,0.472,0.288,0,,,162,0.384,0.499
401,DET,AL,1999,747,882,69,0.326,0.443,0.261,0,,,161,0.349,0.451
402,FLA,NL,1999,691,852,64,0.325,0.395,0.263,0,,,162,0.359,0.44
403,HOU,NL,1999,823,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397
404,KCR,AL,1999,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.454
405,LAD,NL,1999,793,787,77,0.339,0.42,0.266,0,,,162,0.336,0.422
406,MIL,NL,1999,815,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457
407,MIN,AL,1999,686,845,63,0.328,0.384,0.264,0,,,161,0.342,0.465
408,MON,NL,1999,718,853,68,0.323,0.427,0.265,0,,,162,0.342,0.418
409,NYM,NL,1999,853,711,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418
410,NYY,AL,1999,900,731,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4
411,OAK,AL,1999,893,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428
412,PHI,NL,1999,841,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447
413,PIT,NL,1999,775,782,78,0.334,0.419,0.259,0,,,161,0.343,0.42
414,SDP,NL,1999,710,781,74,0.332,0.393,0.252,0,,,162,0.333,0.43
415,SEA,AL,1999,859,905,79,0.343,0.455,0.269,0,,,162,0.368,0.454
416,SFG,NL,1999,872,831,86,0.356,0.434,0.271,0,,,162,0.345,0.423
417,STL,NL,1999,809,838,75,0.338,0.426,0.262,0,,,161,0.355,0.427
418,TBD,AL,1999,772,913,69,0.343,0.411,0.274,0,,,162,0.371,0.448
419,TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459
420,TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,,,162,0.353,0.456
421,ANA,AL,1998,787,783,85,0.335,0.415,0.272,0,,,162,,
422,ARI,NL,1998,665,812,65,0.314,0.393,0.246,0,,,162,,
423,ATL,NL,1998,826,581,106,0.342,0.453,0.272,1,2,3,162,,
424,BAL,AL,1998,817,785,79,0.347,0.447,0.273,0,,,162,,
425,BOS,AL,1998,876,729,92,0.348,0.463,0.28,1,5,4,162,,
426,CHC,NL,1998,831,792,90,0.337,0.433,0.264,1,6,4,163,,
427,CHW,AL,1998,861,931,80,0.339,0.444,0.271,0,,,163,,
428,CIN,NL,1998,750,760,77,0.337,0.402,0.262,0,,,162,,
429,CLE,AL,1998,850,779,89,0.347,0.448,0.272,1,7,3,162,,
430,COL,NL,1998,826,855,77,0.347,0.461,0.291,0,,,162,,
431,DET,AL,1998,722,863,65,0.323,0.415,0.264,0,,,162,,
432,FLA,NL,1998,667,923,54,0.317,0.373,0.248,0,,,162,,
433,HOU,NL,1998,874,620,102,0.356,0.436,0.28,1,3,4,162,,
434,KCR,AL,1998,714,899,72,0.324,0.399,0.263,0,,,161,,
435,LAD,NL,1998,669,678,83,0.31,0.387,0.252,0,,,162,,
436,MIL,NL,1998,707,812,74,0.33,0.396,0.26,0,,,162,,
437,MIN,AL,1998,734,818,70,0.328,0.389,0.266,0,,,162,,
438,MON,NL,1998,644,783,65,0.31,0.394,0.249,0,,,162,,
439,NYM,NL,1998,706,645,88,0.33,0.394,0.259,0,,,162,,
440,NYY,AL,1998,965,656,114,0.364,0.46,0.288,1,1,1,162,,
441,OAK,AL,1998,804,866,74,0.338,0.397,0.257,0,,,162,,
442,PHI,NL,1998,713,808,75,0.326,0.395,0.264,0,,,162,,
443,PIT,NL,1998,650,718,69,0.311,0.374,0.254,0,,,163,,
444,SDP,NL,1998,749,635,98,0.33,0.409,0.253,1,4,2,162,,
445,SEA,AL,1998,859,855,76,0.345,0.468,0.276,0,,,161,,
446,SFG,NL,1998,845,739,89,0.353,0.421,0.274,0,,,163,,
447,STL,NL,1998,810,782,83,0.341,0.441,0.258,0,,,163,,
448,TBD,AL,1998,620,751,63,0.321,0.385,0.261,0,,,162,,
449,TEX,AL,1998,940,871,88,0.357,0.462,0.289,1,8,4,162,,
450,TOR,AL,1998,816,768,88,0.34,0.448,0.266,0,,,163,,
451,ANA,AL,1997,829,794,84,0.346,0.416,0.272,0,,,162,,
452,ATL,NL,1997,791,581,101,0.343,0.426,0.27,1,1,3,162,,
453,BAL,AL,1997,812,681,98,0.341,0.429,0.268,1,2,3,162,,
454,BOS,AL,1997,851,857,78,0.352,0.463,0.291,0,,,162,,
455,CHC,NL,1997,687,759,68,0.321,0.396,0.263,0,,,162,,
456,CHW,AL,1997,779,833,80,0.341,0.417,0.273,0,,,161,,
457,CIN,NL,1997,651,764,76,0.321,0.389,0.253,0,,,162,,
458,CLE,AL,1997,868,815,86,0.358,0.467,0.286,1,6,2,161,,
459,COL,NL,1997,923,908,83,0.357,0.478,0.288,0,,,162,,
460,DET,AL,1997,784,790,79,0.332,0.415,0.258,0,,,162,,
461,FLA,NL,1997,740,669,92,0.346,0.395,0.259,1,4,1,162,,
462,HOU,NL,1997,777,660,84,0.344,0.403,0.259,1,7,4,162,,
463,KCR,AL,1997,747,820,67,0.333,0.407,0.264,0,,,161,,
464,LAD,NL,1997,742,645,88,0.33,0.418,0.268,0,,,162,,
465,MIL,AL,1997,681,742,78,0.325,0.398,0.26,0,,,161,,
466,MIN,AL,1997,772,861,68,0.333,0.409,0.27,0,,,162,,
467,MON,NL,1997,691,740,78,0.316,0.425,0.258,0,,,162,,
468,NYM,NL,1997,777,709,88,0.332,0.405,0.262,0,,,162,,
469,NYY,AL,1997,891,688,96,0.362,0.436,0.287,1,3,4,162,,
470,OAK,AL,1997,764,946,65,0.339,0.423,0.26,0,,,162,,
471,PHI,NL,1997,668,840,68,0.322,0.385,0.255,0,,,162,,
472,PIT,NL,1997,725,760,79,0.329,0.404,0.262,0,,,162,,
473,SDP,NL,1997,795,891,76,0.342,0.407,0.271,0,,,162,,
474,SEA,AL,1997,925,833,90,0.355,0.485,0.28,1,5,4,162,,
475,SFG,NL,1997,784,793,90,0.337,0.414,0.258,1,5,4,162,,
476,STL,NL,1997,689,708,73,0.324,0.396,0.255,0,,,162,,
477,TEX,AL,1997,807,823,77,0.334,0.438,0.274,0,,,162,,
478,TOR,AL,1997,654,694,76,0.31,0.389,0.244,0,,,162,,
479,ATL,NL,1996,773,648,96,0.333,0.432,0.27,1,2,2,162,,
480,BAL,AL,1996,949,903,88,0.35,0.472,0.274,1,6,3,163,,
481,BOS,AL,1996,928,921,85,0.359,0.457,0.283,0,,,162,,
482,CAL,AL,1996,762,943,70,0.339,0.431,0.276,0,,,161,,
483,CHC,NL,1996,772,771,76,0.32,0.401,0.251,0,,,162,,
484,CHW,AL,1996,898,794,85,0.36,0.447,0.281,0,,,162,,
485,CIN,NL,1996,778,773,81,0.331,0.422,0.256,0,,,162,,
486,CLE,AL,1996,952,769,99,0.369,0.475,0.293,1,1,4,161,,
487,COL,NL,1996,961,964,83,0.355,0.472,0.287,0,,,162,,
488,DET,AL,1996,783,1103,53,0.323,0.42,0.256,0,,,162,,
489,FLA,NL,1996,688,703,80,0.329,0.393,0.257,0,,,162,,
490,HOU,NL,1996,753,792,82,0.336,0.397,0.262,0,,,162,,
491,KCR,AL,1996,746,786,75,0.332,0.398,0.267,0,,,161,,
492,LAD,NL,1996,703,652,90,0.316,0.384,0.252,1,5,4,162,,
493,MIL,AL,1996,894,899,80,0.353,0.441,0.279,0,,,162,,
494,MIN,AL,1996,877,900,78,0.357,0.425,0.288,0,,,162,,
495,MON,NL,1996,741,668,88,0.327,0.406,0.262,0,,,162,,
496,NYM,NL,1996,746,779,71,0.324,0.412,0.27,0,,,162,,
497,NYY,AL,1996,871,787,92,0.36,0.436,0.288,1,3,1,162,,
498,OAK,AL,1996,861,900,78,0.344,0.452,0.265,0,,,162,,
499,PHI,NL,1996,650,790,67,0.325,0.387,0.256,0,,,162,,
500,PIT,NL,1996,776,833,73,0.329,0.407,0.266,0,,,162,,
501,SDP,NL,1996,771,682,91,0.338,0.402,0.265,1,4,4,162,,
502,SEA,AL,1996,993,895,85,0.366,0.484,0.287,0,,,161,,
503,SFG,NL,1996,752,862,68,0.331,0.388,0.253,0,,,162,,
504,STL,NL,1996,759,706,88,0.33,0.407,0.267,1,6,3,162,,
505,TEX,AL,1996,928,799,90,0.358,0.469,0.284,1,5,4,163,,
506,TOR,AL,1996,766,809,74,0.331,0.42,0.259,0,,,162,,
507,ATL,NL,1993,767,559,104,0.331,0.408,0.262,1,1,3,162,,
508,BAL,AL,1993,786,745,85,0.346,0.413,0.267,0,,,162,,
509,BOS,AL,1993,686,698,80,0.33,0.395,0.264,0,,,162,,
510,CAL,AL,1993,684,770,71,0.331,0.38,0.26,0,,,162,,
511,CHC,NL,1993,738,739,84,0.325,0.414,0.27,0,,,163,,
512,CHW,AL,1993,776,664,94,0.338,0.411,0.265,1,4,3,162,,
513,CIN,NL,1993,722,785,73,0.324,0.396,0.264,0,,,162,,
514,CLE,AL,1993,790,813,76,0.335,0.409,0.275,0,,,162,,
515,COL,NL,1993,758,967,67,0.323,0.422,0.273,0,,,162,,
516,DET,AL,1993,899,837,85,0.362,0.434,0.275,0,,,162,,
517,FLA,NL,1993,581,724,64,0.314,0.346,0.248,0,,,162,,
518,HOU,NL,1993,716,630,85,0.33,0.409,0.267,0,,,162,,
519,KCR,AL,1993,675,694,84,0.32,0.397,0.263,0,,,162,,
520,LAD,NL,1993,675,662,81,0.321,0.383,0.261,0,,,162,,
521,MIL,AL,1993,733,792,69,0.328,0.378,0.258,0,,,162,,
522,MIN,AL,1993,693,830,71,0.327,0.385,0.264,0,,,162,,
523,MON,NL,1993,732,682,94,0.326,0.386,0.257,0,,,163,,
524,NYM,NL,1993,672,744,59,0.305,0.39,0.248,0,,,162,,
525,NYY,AL,1993,821,761,88,0.353,0.435,0.279,0,,,162,,
526,OAK,AL,1993,715,846,68,0.33,0.394,0.254,0,,,162,,
527,PHI,NL,1993,877,740,97,0.351,0.426,0.274,1,2,2,162,,
528,PIT,NL,1993,707,806,75,0.335,0.393,0.267,0,,,162,,
529,SDP,NL,1993,679,772,61,0.312,0.389,0.252,0,,,162,,
530,SEA,AL,1993,734,731,82,0.339,0.406,0.26,0,,,162,,
531,SFG,NL,1993,808,636,103,0.34,0.427,0.276,0,,,162,,
532,STL,NL,1993,758,744,87,0.341,0.395,0.272,0,,,162,,
533,TEX,AL,1993,835,751,86,0.329,0.431,0.267,0,,,162,,
534,TOR,AL,1993,847,742,95,0.35,0.436,0.279,1,3,1,162,,
535,ATL,NL,1992,682,569,98,0.316,0.388,0.254,1,1,2,162,,
536,BAL,AL,1992,705,656,89,0.34,0.398,0.259,0,,,162,,
537,BOS,AL,1992,599,669,73,0.321,0.347,0.246,0,,,162,,
538,CAL,AL,1992,579,671,72,0.301,0.338,0.243,0,,,162,,
539,CHC,NL,1992,593,624,78,0.307,0.364,0.254,0,,,162,,
540,CHW,AL,1992,738,690,86,0.336,0.383,0.261,0,,,162,,
541,CIN,NL,1992,660,609,90,0.328,0.382,0.26,0,,,162,,
542,CLE,AL,1992,674,746,76,0.323,0.383,0.266,0,,,162,,
543,DET,AL,1992,791,794,75,0.337,0.407,0.256,0,,,162,,
544,HOU,NL,1992,608,668,81,0.313,0.359,0.246,0,,,162,,
545,KCR,AL,1992,610,667,72,0.315,0.364,0.256,0,,,162,,
546,LAD,NL,1992,548,636,63,0.313,0.339,0.248,0,,,162,,
547,MIL,AL,1992,740,604,92,0.33,0.375,0.268,0,,,162,,
548,MIN,AL,1992,747,653,90,0.341,0.391,0.277,0,,,162,,
549,MON,NL,1992,648,581,87,0.313,0.37,0.252,0,,,162,,
550,NYM,NL,1992,599,653,72,0.31,0.342,0.235,0,,,162,,
551,NYY,AL,1992,733,746,76,0.328,0.406,0.261,0,,,162,,
552,OAK,AL,1992,745,672,96,0.346,0.386,0.258,1,2,3,162,,
553,PHI,NL,1992,686,717,70,0.32,0.377,0.253,0,,,162,,
554,PIT,NL,1992,693,595,96,0.324,0.381,0.255,1,2,3,162,,
555,SDP,NL,1992,617,636,82,0.313,0.386,0.255,0,,,162,,
556,SEA,AL,1992,679,799,64,0.323,0.402,0.263,0,,,162,,
557,SFG,NL,1992,574,647,72,0.302,0.355,0.244,0,,,162,,
558,STL,NL,1992,631,604,83,0.323,0.375,0.262,0,,,162,,
559,TEX,AL,1992,682,753,77,0.321,0.393,0.25,0,,,162,,
560,TOR,AL,1992,780,682,96,0.333,0.414,0.263,1,2,1,162,,
561,ATL,NL,1991,749,644,94,0.328,0.393,0.258,1,3,2,162,,
562,BAL,AL,1991,686,796,67,0.319,0.401,0.254,0,,,162,,
563,BOS,AL,1991,731,712,84,0.34,0.401,0.269,0,,,162,,
564,CAL,AL,1991,653,649,81,0.314,0.374,0.255,0,,,162,,
565,CHC,NL,1991,695,734,77,0.309,0.39,0.253,0,,,160,,
566,CHW,AL,1991,758,681,87,0.336,0.391,0.262,0,,,162,,
567,CIN,NL,1991,689,691,74,0.32,0.403,0.258,0,,,162,,
568,CLE,AL,1991,576,759,57,0.313,0.35,0.254,0,,,162,,
569,DET,AL,1991,817,794,84,0.333,0.416,0.247,0,,,162,,
570,HOU,NL,1991,605,717,65,0.309,0.347,0.244,0,,,162,,
571,KCR,AL,1991,727,722,82,0.328,0.394,0.264,0,,,162,,
572,LAD,NL,1991,665,565,93,0.326,0.359,0.253,0,,,162,,
573,MIL,AL,1991,799,744,83,0.336,0.396,0.271,0,,,162,,
574,MIN,AL,1991,776,652,95,0.344,0.42,0.28,1,2,1,162,,
575,MON,NL,1991,579,655,71,0.308,0.357,0.246,0,,,161,,
576,NYM,NL,1991,640,646,77,0.317,0.365,0.244,0,,,161,,
577,NYY,AL,1991,674,777,71,0.316,0.387,0.256,0,,,162,,
578,OAK,AL,1991,760,776,84,0.331,0.389,0.248,0,,,162,,
579,PHI,NL,1991,629,680,78,0.303,0.358,0.241,0,,,162,,
580,PIT,NL,1991,768,632,98,0.338,0.398,0.263,1,1,3,162,,
581,SDP,NL,1991,636,646,84,0.31,0.362,0.244,0,,,162,,
582,SEA,AL,1991,702,674,83,0.328,0.383,0.255,0,,,162,,
583,SFG,NL,1991,649,697,75,0.309,0.381,0.246,0,,,162,,
584,STL,NL,1991,651,648,84,0.322,0.357,0.255,0,,,162,,
585,TEX,AL,1991,829,814,85,0.341,0.424,0.27,0,,,162,,
586,TOR,AL,1991,684,622,91,0.322,0.4,0.257,1,4,3,162,,
587,ATL,NL,1990,682,821,65,0.311,0.396,0.25,0,,,162,,
588,BAL,AL,1990,669,698,76,0.33,0.37,0.245,0,,,161,,
589,BOS,AL,1990,699,664,88,0.344,0.395,0.272,1,4,3,162,,
590,CAL,AL,1990,690,706,80,0.329,0.391,0.26,0,,,162,,
591,CHC,NL,1990,690,774,77,0.314,0.392,0.263,0,,,162,,
592,CHW,AL,1990,682,633,94,0.32,0.379,0.258,0,,,162,,
593,CIN,NL,1990,693,597,91,0.325,0.399,0.265,1,3,1,162,,
594,CLE,AL,1990,732,737,77,0.324,0.391,0.267,0,,,162,,
595,DET,AL,1990,750,754,79,0.337,0.409,0.259,0,,,162,,
596,HOU,NL,1990,573,656,75,0.313,0.345,0.242,0,,,162,,
