Id,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
597,KCR,AL,1990,707,709,75,0.328,0.395,0.267,0,,,161,,
598,LAD,NL,1990,728,685,86,0.328,0.382,0.262,0,,,162,,
599,MIL,AL,1990,732,760,74,0.32,0.384,0.256,0,,,162,,
600,MIN,AL,1990,666,729,74,0.324,0.385,0.265,0,,,162,,
601,MON,NL,1990,662,598,85,0.322,0.37,0.25,0,,,162,,
602,NYM,NL,1990,775,613,91,0.323,0.408,0.256,0,,,162,,
603,NYY,AL,1990,603,749,67,0.3,0.366,0.241,0,,,162,,
604,OAK,AL,1990,733,570,103,0.336,0.391,0.254,1,1,2,162,,
605,PHI,NL,1990,646,729,77,0.327,0.363,0.255,0,,,162,,
606,PIT,NL,1990,733,619,95,0.33,0.405,0.259,1,2,3,162,,
607,SDP,NL,1990,673,673,75,0.32,0.38,0.257,0,,,162,,
608,SEA,AL,1990,640,680,77,0.333,0.373,0.259,0,,,162,,
609,SFG,NL,1990,719,710,85,0.323,0.396,0.262,0,,,162,,
610,STL,NL,1990,599,698,70,0.32,0.358,0.256,0,,,162,,
611,TEX,AL,1990,676,696,83,0.331,0.376,0.259,0,,,162,,
612,TOR,AL,1990,767,661,86,0.328,0.419,0.265,0,,,162,,
613,ATL,NL,1989,584,680,63,0.298,0.35,0.234,0,,,161,,
614,BAL,AL,1989,708,686,87,0.326,0.379,0.252,0,,,162,,
615,BOS,AL,1989,774,735,83,0.351,0.403,0.277,0,,,162,,
616,CAL,AL,1989,669,578,91,0.311,0.386,0.256,0,,,162,,
617,CHC,NL,1989,702,623,93,0.319,0.387,0.261,1,2,3,162,,
618,CHW,AL,1989,693,750,69,0.328,0.383,0.271,0,,,161,,
619,CIN,NL,1989,632,691,75,0.309,0.37,0.247,0,,,162,,
620,CLE,AL,1989,604,654,73,0.31,0.365,0.245,0,,,162,,
621,DET,AL,1989,617,816,59,0.318,0.351,0.242,0,,,162,,
622,HOU,NL,1989,647,669,86,0.306,0.345,0.239,0,,,162,,
623,KCR,AL,1989,690,635,92,0.329,0.373,0.261,0,,,162,,
624,LAD,NL,1989,554,536,77,0.306,0.339,0.24,0,,,160,,
625,MIL,AL,1989,707,679,81,0.318,0.382,0.259,0,,,162,,
626,MIN,AL,1989,740,738,80,0.334,0.402,0.276,0,,,162,,
627,MON,NL,1989,632,630,81,0.319,0.361,0.247,0,,,162,,
628,NYM,NL,1989,683,595,87,0.311,0.385,0.246,0,,,162,,
629,NYY,AL,1989,698,792,74,0.331,0.391,0.269,0,,,161,,
630,OAK,AL,1989,712,576,99,0.331,0.381,0.261,1,1,1,162,,
631,PHI,NL,1989,629,735,67,0.314,0.364,0.243,0,,,163,,
632,PIT,NL,1989,637,680,74,0.311,0.359,0.241,0,,,164,,
633,SDP,NL,1989,642,626,89,0.319,0.369,0.251,0,,,162,,
634,SEA,AL,1989,694,728,73,0.32,0.384,0.257,0,,,162,,
635,SFG,NL,1989,699,600,92,0.316,0.39,0.25,1,3,2,162,,
636,STL,NL,1989,632,608,86,0.321,0.363,0.258,0,,,164,,
637,TEX,AL,1989,695,714,83,0.326,0.394,0.263,0,,,162,,
638,TOR,AL,1989,731,651,89,0.323,0.398,0.26,1,4,3,162,,
639,ATL,NL,1988,555,741,54,0.298,0.348,0.242,0,,,160,,
640,BAL,AL,1988,550,789,54,0.305,0.359,0.238,0,,,161,,
641,BOS,AL,1988,813,689,89,0.357,0.42,0.283,1,4,3,162,,
642,CAL,AL,1988,714,771,75,0.321,0.385,0.261,0,,,162,,
643,CHC,NL,1988,660,694,77,0.31,0.383,0.261,0,,,163,,
644,CHW,AL,1988,631,757,71,0.303,0.37,0.244,0,,,161,,
645,CIN,NL,1988,641,596,87,0.309,0.368,0.246,0,,,161,,
646,CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,,
647,DET,AL,1988,703,658,88,0.324,0.378,0.25,0,,,162,,
648,HOU,NL,1988,617,631,82,0.306,0.351,0.244,0,,,162,,
649,KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,,
650,LAD,NL,1988,628,544,94,0.305,0.352,0.248,1,3,1,162,,
651,MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,,
652,MIN,AL,1988,759,672,91,0.34,0.421,0.274,0,,,162,,
653,MON,NL,1988,628,592,81,0.309,0.373,0.251,0,,,163,,
654,NYM,NL,1988,703,532,100,0.325,0.396,0.256,1,2,3,160,,
655,NYY,AL,1988,772,748,85,0.333,0.395,0.263,0,,,161,,
656,OAK,AL,1988,800,620,104,0.336,0.399,0.263,1,1,2,162,,
657,PHI,NL,1988,597,734,65,0.306,0.355,0.239,0,,,162,,
658,PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,,
659,SDP,NL,1988,594,583,83,0.31,0.351,0.247,0,,,161,,
660,SEA,AL,1988,664,744,68,0.317,0.398,0.257,0,,,161,,
661,SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,,
662,STL,NL,1988,578,633,76,0.309,0.337,0.249,0,,,162,,
663,TEX,AL,1988,637,735,70,0.32,0.368,0.252,0,,,161,,
664,TOR,AL,1988,763,680,87,0.332,0.419,0.268,0,,,162,,
665,ATL,NL,1987,747,829,69,0.339,0.403,0.258,0,,,161,,
666,BAL,AL,1987,729,880,67,0.322,0.418,0.258,0,,,162,,
667,BOS,AL,1987,842,825,78,0.352,0.43,0.278,0,,,162,,
668,CAL,AL,1987,770,803,75,0.326,0.401,0.252,0,,,162,,
669,CHC,NL,1987,720,801,76,0.326,0.432,0.264,0,,,161,,
670,CHW,AL,1987,748,746,77,0.319,0.415,0.258,0,,,162,,
671,CIN,NL,1987,783,752,84,0.33,0.427,0.266,0,,,162,,
672,CLE,AL,1987,742,957,61,0.324,0.422,0.263,0,,,162,,
673,DET,AL,1987,896,735,98,0.349,0.451,0.272,1,1,3,162,,
674,HOU,NL,1987,648,678,76,0.318,0.373,0.253,0,,,162,,
675,KCR,AL,1987,715,691,83,0.328,0.412,0.262,0,,,162,,
676,LAD,NL,1987,635,675,73,0.309,0.371,0.252,0,,,162,,
677,MIL,AL,1987,862,817,91,0.346,0.428,0.276,0,,,162,,
678,MIN,AL,1987,786,806,85,0.328,0.43,0.261,1,4,1,162,,
679,MON,NL,1987,741,720,91,0.328,0.401,0.265,0,,,162,,
680,NYM,NL,1987,823,698,92,0.339,0.434,0.268,0,,,162,,
681,NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,,
682,OAK,AL,1987,806,789,81,0.333,0.428,0.26,0,,,162,,
683,PHI,NL,1987,702,749,80,0.327,0.41,0.254,0,,,162,,
684,PIT,NL,1987,723,744,80,0.33,0.403,0.264,0,,,162,,
685,SDP,NL,1987,668,763,65,0.332,0.378,0.26,0,,,162,,
686,SEA,AL,1987,760,801,78,0.335,0.428,0.272,0,,,162,,
687,SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3,3,162,,
688,STL,NL,1987,798,693,95,0.34,0.378,0.263,1,2,2,162,,
689,TEX,AL,1987,823,849,75,0.333,0.43,0.266,0,,,162,,
690,TOR,AL,1987,845,655,96,0.336,0.446,0.269,0,,,162,,
691,ATL,NL,1986,615,719,72,0.319,0.381,0.25,0,,,161,,
692,BAL,AL,1986,708,760,73,0.327,0.395,0.258,0,,,162,,
693,BOS,AL,1986,794,696,95,0.346,0.415,0.271,1,3,2,161,,
694,CAL,AL,1986,786,684,92,0.338,0.404,0.255,1,4,3,162,,
695,CHC,NL,1986,680,781,70,0.318,0.398,0.256,0,,,160,,
696,CHW,AL,1986,644,699,72,0.31,0.363,0.247,0,,,162,,
697,CIN,NL,1986,732,717,86,0.325,0.387,0.254,0,,,162,,
698,CLE,AL,1986,831,841,84,0.337,0.43,0.284,0,,,163,,
699,DET,AL,1986,798,714,87,0.338,0.424,0.263,0,,,162,,
700,HOU,NL,1986,654,569,96,0.322,0.381,0.255,1,2,3,162,,
701,KCR,AL,1986,654,673,76,0.313,0.39,0.252,0,,,162,,
702,LAD,NL,1986,638,679,73,0.313,0.37,0.251,0,,,162,,
703,MIL,AL,1986,667,734,77,0.321,0.385,0.255,0,,,161,,
704,MIN,AL,1986,741,839,71,0.325,0.428,0.261,0,,,162,,
705,MON,NL,1986,637,688,78,0.322,0.379,0.254,0,,,161,,
706,NYM,NL,1986,783,578,108,0.339,0.401,0.263,1,1,1,162,,
707,NYY,AL,1986,797,738,90,0.347,0.43,0.271,0,,,162,,
708,OAK,AL,1986,731,760,76,0.322,0.39,0.252,0,,,162,,
709,PHI,NL,1986,739,713,86,0.327,0.4,0.253,0,,,161,,
710,PIT,NL,1986,663,700,64,0.321,0.374,0.25,0,,,162,,
711,SDP,NL,1986,656,723,74,0.321,0.388,0.261,0,,,162,,
712,SEA,AL,1986,718,835,67,0.326,0.399,0.253,0,,,162,,
713,SFG,NL,1986,698,618,83,0.322,0.375,0.253,0,,,162,,
714,STL,NL,1986,601,611,79,0.309,0.327,0.236,0,,,161,,
715,TEX,AL,1986,771,743,87,0.331,0.428,0.267,0,,,162,,
716,TOR,AL,1986,809,733,86,0.329,0.427,0.269,0,,,163,,
717,ATL,NL,1985,632,781,66,0.315,0.363,0.246,0,,,162,,
718,BAL,AL,1985,818,764,83,0.336,0.43,0.263,0,,,161,,
719,BOS,AL,1985,800,720,81,0.347,0.429,0.282,0,,,163,,
720,CAL,AL,1985,732,703,90,0.333,0.386,0.251,0,,,162,,
721,CHC,NL,1985,686,729,77,0.324,0.39,0.254,0,,,162,,
722,CHW,AL,1985,736,720,85,0.315,0.392,0.253,0,,,163,,
723,CIN,NL,1985,677,666,89,0.327,0.376,0.255,0,,,162,,
724,CLE,AL,1985,729,861,60,0.324,0.385,0.265,0,,,162,,
725,DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,,
726,HOU,NL,1985,706,691,83,0.319,0.388,0.261,0,,,162,,
727,KCR,AL,1985,687,639,91,0.313,0.401,0.252,1,4,1,162,,
728,LAD,NL,1985,682,579,95,0.328,0.382,0.261,1,3,3,162,,
729,MIL,AL,1985,690,802,71,0.319,0.379,0.263,0,,,161,,
730,MIN,AL,1985,705,782,77,0.326,0.407,0.264,0,,,162,,
731,MON,NL,1985,633,636,84,0.31,0.375,0.247,0,,,161,,
732,NYM,NL,1985,695,568,98,0.323,0.385,0.257,0,,,162,,
733,NYY,AL,1985,839,660,97,0.344,0.425,0.267,0,,,161,,
734,OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,,
735,PHI,NL,1985,667,673,75,0.312,0.383,0.245,0,,,162,,
736,PIT,NL,1985,568,708,57,0.311,0.347,0.247,0,,,161,,
737,SDP,NL,1985,650,622,83,0.32,0.368,0.255,0,,,162,,
738,SEA,AL,1985,719,818,74,0.326,0.412,0.255,0,,,162,,
739,SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,,
740,STL,NL,1985,747,572,101,0.335,0.379,0.264,1,1,2,162,,
741,TEX,AL,1985,617,785,62,0.322,0.381,0.253,0,,,161,,
742,TOR,AL,1985,759,588,99,0.331,0.425,0.269,1,2,3,161,,
743,ATL,NL,1984,632,655,80,0.317,0.361,0.247,0,,,162,,
744,BAL,AL,1984,681,667,85,0.328,0.391,0.252,0,,,162,,
745,BOS,AL,1984,810,764,86,0.341,0.441,0.283,0,,,162,,
746,CAL,AL,1984,696,697,81,0.319,0.381,0.249,0,,,162,,
747,CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2,3,161,,
748,CHW,AL,1984,679,736,74,0.314,0.395,0.247,0,,,162,,
749,CIN,NL,1984,627,747,70,0.313,0.356,0.244,0,,,162,,
750,CLE,AL,1984,761,766,75,0.335,0.384,0.265,0,,,163,,
751,DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1,1,162,,
752,HOU,NL,1984,693,630,80,0.323,0.371,0.264,0,,,162,,
753,KCR,AL,1984,673,686,84,0.317,0.399,0.268,1,4,3,162,,
754,LAD,NL,1984,580,600,79,0.306,0.348,0.244,0,,,162,,
755,MIL,AL,1984,641,734,67,0.317,0.37,0.262,0,,,161,,
756,MIN,AL,1984,673,675,81,0.318,0.385,0.265,0,,,162,,
757,MON,NL,1984,593,585,78,0.312,0.362,0.251,0,,,161,,
758,NYM,NL,1984,652,676,90,0.32,0.369,0.257,0,,,162,,
759,NYY,AL,1984,758,679,87,0.339,0.404,0.276,0,,,162,,
760,OAK,AL,1984,738,796,77,0.327,0.404,0.259,0,,,162,,
761,PHI,NL,1984,720,690,81,0.333,0.407,0.266,0,,,162,,
762,PIT,NL,1984,615,567,75,0.31,0.363,0.255,0,,,162,,
763,SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3,2,162,,
764,SEA,AL,1984,682,774,74,0.324,0.384,0.258,0,,,162,,
765,SFG,NL,1984,682,807,66,0.328,0.375,0.265,0,,,162,,
766,STL,NL,1984,652,645,84,0.317,0.351,0.252,0,,,162,,
767,TEX,AL,1984,656,714,69,0.313,0.377,0.261,0,,,161,,
768,TOR,AL,1984,750,696,89,0.331,0.421,0.273,0,,,163,,
769,ATL,NL,1983,746,640,88,0.341,0.4,0.272,0,,,162,,
770,BAL,AL,1983,799,652,98,0.34,0.421,0.269,1,2,1,162,,
771,BOS,AL,1983,724,775,78,0.335,0.409,0.27,0,,,162,,
772,CAL,AL,1983,722,779,70,0.322,0.393,0.26,0,,,162,,
773,CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,,
774,CHW,AL,1983,800,650,99,0.329,0.413,0.262,1,1,3,162,,
775,CIN,NL,1983,623,710,74,0.314,0.356,0.239,0,,,162,,
776,CLE,AL,1983,704,785,70,0.338,0.369,0.265,0,,,162,,
777,DET,AL,1983,789,679,92,0.335,0.427,0.274,0,,,162,,
778,HOU,NL,1983,643,646,85,0.32,0.375,0.257,0,,,162,,
779,KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,,
780,LAD,NL,1983,654,609,91,0.318,0.379,0.25,1,3,3,163,,
781,MIL,AL,1983,764,708,87,0.333,0.418,0.277,0,,,162,,
782,MIN,AL,1983,709,822,70,0.319,0.401,0.261,0,,,162,,
783,MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,,
784,NYM,NL,1983,575,680,68,0.3,0.344,0.241,0,,,162,,
785,NYY,AL,1983,770,703,91,0.337,0.416,0.273,0,,,162,,
786,OAK,AL,1983,708,782,74,0.326,0.381,0.262,0,,,162,,
787,PHI,NL,1983,696,635,90,0.329,0.373,0.249,1,4,2,163,,
788,PIT,NL,1983,659,648,84,0.325,0.383,0.264,0,,,162,,
789,SDP,NL,1983,653,653,81,0.311,0.351,0.25,0,,,163,,
790,SEA,AL,1983,558,740,60,0.301,0.36,0.24,0,,,162,,
791,SFG,NL,1983,687,697,79,0.325,0.375,0.247,0,,,162,,
792,STL,NL,1983,679,710,79,0.335,0.384,0.27,0,,,162,,
793,TEX,AL,1983,639,609,77,0.31,0.366,0.255,0,,,163,,
794,TOR,AL,1983,795,726,89,0.338,0.436,0.277,0,,,162,,
795,ATL,NL,1982,739,702,89,0.325,0.383,0.256,1,4,3,162,,
796,BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,,
797,BOS,AL,1982,753,713,89,0.34,0.407,0.274,0,,,162,,
798,CAL,AL,1982,814,670,93,0.347,0.433,0.274,1,2,3,162,,
799,CHC,NL,1982,676,709,73,0.317,0.375,0.26,0,,,162,,
800,CHW,AL,1982,786,710,87,0.337,0.413,0.273,0,,,162,,
801,CIN,NL,1982,545,661,61,0.31,0.35,0.251,0,,,162,,
802,CLE,AL,1982,683,748,78,0.341,0.373,0.262,0,,,162,,
803,DET,AL,1982,729,685,83,0.324,0.418,0.266,0,,,162,,
804,HOU,NL,1982,569,620,77,0.302,0.349,0.247,0,,,162,,
805,KCR,AL,1982,784,717,90,0.337,0.428,0.285,0,,,162,,
806,LAD,NL,1982,691,612,88,0.327,0.388,0.264,0,,,162,,
807,MIL,AL,1982,891,717,95,0.335,0.455,0.279,1,1,2,163,,
808,MIN,AL,1982,657,819,60,0.316,0.396,0.257,0,,,162,,
809,MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,,
810,NYM,NL,1982,609,723,65,0.305,0.35,0.247,0,,,162,,
811,NYY,AL,1982,709,716,79,0.328,0.398,0.256,0,,,162,,
812,OAK,AL,1982,691,819,68,0.309,0.367,0.236,0,,,162,,
813,PHI,NL,1982,664,654,89,0.323,0.376,0.26,0,,,162,,
814,PIT,NL,1982,724,696,84,0.327,0.408,0.273,0,,,162,,
815,SDP,NL,1982,675,658,81,0.311,0.359,0.257,0,,,162,,
816,SEA,AL,1982,651,712,76,0.311,0.381,0.254,0,,,162,,
817,SFG,NL,1982,673,687,87,0.327,0.376,0.253,0,,,162,,
818,STL,NL,1982,685,609,92,0.334,0.364,0.264,1,3,1,162,,
819,TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,,
820,TOR,AL,1982,651,701,78,0.314,0.383,0.262,0,,,162,,
821,ATL,NL,1980,630,660,81,0.307,0.38,0.25,0,,,161,,
822,BAL,AL,1980,805,640,100,0.342,0.413,0.273,0,,,162,,
823,BOS,AL,1980,757,767,83,0.34,0.436,0.283,0,,,160,,
824,CAL,AL,1980,698,797,65,0.332,0.378,0.265,0,,,160,,
825,CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,,
826,CHW,AL,1980,587,722,70,0.311,0.37,0.259,0,,,162,,
827,CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,,
828,CLE,AL,1980,738,807,79,0.35,0.381,0.277,0,,,160,,
829,DET,AL,1980,830,757,84,0.348,0.409,0.273,0,,,163,,
830,HOU,NL,1980,637,589,93,0.326,0.367,0.261,1,3,3,163,,
831,KCR,AL,1980,809,694,97,0.345,0.413,0.286,1,2,2,162,,
832,LAD,NL,1980,663,591,92,0.323,0.388,0.263,0,,,163,,
833,MIL,AL,1980,811,682,86,0.329,0.448,0.275,0,,,162,,
834,MIN,AL,1980,670,724,77,0.319,0.381,0.265,0,,,161,,
835,MON,NL,1980,694,629,90,0.324,0.388,0.257,0,,,162,,
836,NYM,NL,1980,611,702,67,0.319,0.345,0.257,0,,,162,,
837,NYY,AL,1980,820,662,103,0.343,0.425,0.267,1,1,3,162,,
838,OAK,AL,1980,686,642,83,0.322,0.385,0.259,0,,,162,,
839,PHI,NL,1980,728,639,91,0.327,0.4,0.27,1,4,1,162,,
840,PIT,NL,1980,666,646,83,0.322,0.388,0.266,0,,,162,,
841,SDP,NL,1980,591,654,73,0.324,0.342,0.255,0,,,163,,
842,SEA,AL,1980,610,793,59,0.308,0.356,0.248,0,,,163,,
843,SFG,NL,1980,573,634,75,0.308,0.342,0.244,0,,,161,,
844,STL,NL,1980,738,710,74,0.328,0.4,0.275,0,,,162,,
845,TEX,AL,1980,756,752,76,0.339,0.405,0.284,0,,,163,,
846,TOR,AL,1980,624,762,67,0.309,0.383,0.251,0,,,162,,
847,ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,,
848,BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1,2,159,,
849,BOS,AL,1979,841,711,91,0.344,0.456,0.283,0,,,160,,
850,CAL,AL,1979,866,768,88,0.351,0.429,0.282,1,4,3,162,,
851,CHC,NL,1979,706,707,80,0.329,0.403,0.269,0,,,162,,
852,CHW,AL,1979,730,748,73,0.333,0.41,0.275,0,,,160,,
853,CIN,NL,1979,731,644,90,0.338,0.396,0.264,1,3,3,161,,
854,CLE,AL,1979,760,805,81,0.34,0.384,0.258,0,,,161,,
855,DET,AL,1979,770,738,84,0.339,0.415,0.269,0,,,161,,
856,HOU,NL,1979,583,582,89,0.315,0.344,0.256,0,,,162,,
857,KCR,AL,1979,851,816,85,0.343,0.422,0.282,0,,,162,,
858,LAD,NL,1979,739,717,79,0.331,0.412,0.263,0,,,162,,
859,MIL,AL,1979,807,722,95,0.345,0.448,0.28,0,,,161,,
860,MIN,AL,1979,764,725,82,0.341,0.402,0.278,0,,,162,,
861,MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,,
862,NYM,NL,1979,593,706,63,0.313,0.35,0.25,0,,,163,,
863,NYY,AL,1979,734,672,89,0.328,0.406,0.266,0,,,160,,
864,OAK,AL,1979,573,860,54,0.302,0.346,0.239,0,,,162,,
865,PHI,NL,1979,683,718,84,0.34,0.396,0.266,0,,,163,,
866,PIT,NL,1979,775,643,98,0.33,0.416,0.272,1,2,1,163,,
867,SDP,NL,1979,603,681,68,0.311,0.348,0.242,0,,,161,,
868,SEA,AL,1979,711,820,67,0.331,0.404,0.269,0,,,162,,
869,SFG,NL,1979,672,751,71,0.319,0.365,0.246,0,,,162,,
870,STL,NL,1979,731,693,86,0.331,0.401,0.278,0,,,163,,
871,TEX,AL,1979,750,698,83,0.334,0.409,0.278,0,,,162,,
872,TOR,AL,1979,613,862,53,0.311,0.363,0.251,0,,,162,,
873,ATL,NL,1978,600,750,69,0.315,0.363,0.244,0,,,162,,
874,BAL,AL,1978,659,633,90,0.326,0.396,0.258,0,,,161,,
875,BOS,AL,1978,796,657,99,0.336,0.424,0.267,0,,,163,,
876,CAL,AL,1978,691,666,87,0.33,0.37,0.259,0,,,162,,
877,CHC,NL,1978,664,724,79,0.331,0.361,0.264,0,,,162,,
878,CHW,AL,1978,634,731,71,0.317,0.379,0.264,0,,,161,,
879,CIN,NL,1978,710,688,92,0.334,0.393,0.256,0,,,161,,
880,CLE,AL,1978,639,694,69,0.323,0.379,0.261,0,,,159,,
881,DET,AL,1978,714,653,86,0.339,0.392,0.271,0,,,162,,
882,HOU,NL,1978,605,634,74,0.313,0.355,0.258,0,,,162,,
883,KCR,AL,1978,743,634,92,0.329,0.399,0.268,1,3,3,162,,
884,LAD,NL,1978,727,573,95,0.338,0.402,0.264,1,2,2,162,,
885,MIL,AL,1978,804,650,93,0.339,0.432,0.276,0,,,162,,
886,MIN,AL,1978,666,678,73,0.339,0.375,0.267,0,,,162,,
887,MON,NL,1978,633,611,76,0.306,0.379,0.254,0,,,162,,
888,NYM,NL,1978,607,690,66,0.314,0.352,0.245,0,,,162,,
889,NYY,AL,1978,735,582,100,0.329,0.388,0.267,1,1,1,163,,
890,OAK,AL,1978,532,690,69,0.303,0.351,0.245,0,,,162,,
891,PHI,NL,1978,708,586,90,0.328,0.388,0.258,1,4,3,162,,
892,PIT,NL,1978,684,637,88,0.32,0.385,0.257,0,,,161,,
893,SDP,NL,1978,591,598,84,0.321,0.348,0.252,0,,,162,,
894,SEA,AL,1978,614,834,56,0.314,0.359,0.248,0,,,160,,
895,SFG,NL,1978,613,594,89,0.318,0.374,0.248,0,,,162,,
896,STL,NL,1978,600,657,69,0.303,0.358,0.249,0,,,162,,
897,TEX,AL,1978,692,632,87,0.332,0.381,0.253,0,,,162,,
898,TOR,AL,1978,590,775,59,0.308,0.359,0.25,0,,,161,,
899,ATL,NL,1977,678,895,61,0.32,0.376,0.254,0,,,162,,
900,BAL,AL,1977,719,653,97,0.329,0.393,0.261,0,,,161,,
901,BOS,AL,1977,859,712,97,0.345,0.465,0.281,0,,,161,,
902,CAL,AL,1977,675,695,74,0.324,0.386,0.255,0,,,162,,
903,CHC,NL,1977,692,739,81,0.33,0.387,0.266,0,,,162,,
904,CHW,AL,1977,844,771,90,0.344,0.444,0.278,0,,,162,,
905,CIN,NL,1977,802,725,88,0.345,0.436,0.274,0,,,162,,
906,CLE,AL,1977,676,739,71,0.334,0.38,0.269,0,,,161,,
907,DET,AL,1977,714,751,74,0.318,0.41,0.264,0,,,162,,
908,HOU,NL,1977,680,650,81,0.32,0.385,0.254,0,,,162,,
909,KCR,AL,1977,822,651,102,0.34,0.436,0.277,1,1,3,162,,
910,LAD,NL,1977,769,582,98,0.336,0.418,0.266,1,4,2,162,,
911,MIL,AL,1977,639,765,67,0.314,0.389,0.258,0,,,162,,
912,MIN,AL,1977,867,776,84,0.348,0.417,0.282,0,,,161,,
913,MON,NL,1977,665,736,75,0.318,0.402,0.26,0,,,162,,
914,NYM,NL,1977,587,663,64,0.313,0.346,0.244,0,,,162,,
915,NYY,AL,1977,831,651,100,0.344,0.444,0.281,1,3,1,162,,
