Id,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
916,OAK,AL,1977,605,749,63,0.308,0.352,0.24,0,,,161,,
917,PHI,NL,1977,847,668,101,0.346,0.448,0.279,1,2,3,162,,
918,PIT,NL,1977,734,665,96,0.331,0.413,0.274,0,,,162,,
919,SDP,NL,1977,692,834,69,0.324,0.375,0.249,0,,,162,,
920,SEA,AL,1977,624,855,64,0.312,0.381,0.256,0,,,162,,
921,SFG,NL,1977,673,711,75,0.323,0.383,0.253,0,,,162,,
922,STL,NL,1977,737,688,83,0.33,0.388,0.27,0,,,162,,
923,TEX,AL,1977,767,657,94,0.342,0.405,0.27,0,,,162,,
924,TOR,AL,1977,605,822,54,0.316,0.365,0.252,0,,,161,,
925,ATL,NL,1976,620,700,70,0.32,0.334,0.245,0,,,162,,
926,BAL,AL,1976,619,598,88,0.31,0.358,0.243,0,,,162,,
927,BOS,AL,1976,716,660,83,0.324,0.402,0.263,0,,,162,,
928,CAL,AL,1976,550,631,76,0.306,0.318,0.235,0,,,162,,
929,CHC,NL,1976,611,728,75,0.313,0.356,0.251,0,,,162,,
930,CHW,AL,1976,586,745,64,0.314,0.349,0.255,0,,,161,,
931,CIN,NL,1976,857,633,102,0.357,0.424,0.28,1,1,1,162,,
932,CLE,AL,1976,615,615,81,0.321,0.359,0.263,0,,,159,,
933,DET,AL,1976,609,709,74,0.315,0.365,0.257,0,,,161,,
934,HOU,NL,1976,625,657,80,0.322,0.347,0.256,0,,,162,,
935,KCR,AL,1976,713,611,90,0.327,0.371,0.269,1,4,3,162,,
936,LAD,NL,1976,608,543,92,0.313,0.349,0.251,0,,,162,,
937,MIL,AL,1976,570,655,66,0.311,0.34,0.246,0,,,161,,
938,MIN,AL,1976,743,704,85,0.341,0.375,0.274,0,,,162,,
939,MON,NL,1976,531,734,55,0.291,0.34,0.235,0,,,162,,
940,NYM,NL,1976,615,538,86,0.319,0.352,0.246,0,,,162,,
941,NYY,AL,1976,730,575,97,0.328,0.389,0.269,1,3,2,159,,
942,OAK,AL,1976,686,598,87,0.323,0.361,0.246,0,,,161,,
943,PHI,NL,1976,770,557,101,0.338,0.395,0.272,1,2,3,162,,
944,PIT,NL,1976,708,630,92,0.321,0.391,0.267,0,,,162,,
945,SDP,NL,1976,570,662,73,0.31,0.337,0.247,0,,,162,,
946,SFG,NL,1976,595,686,74,0.312,0.345,0.246,0,,,162,,
947,STL,NL,1976,629,671,72,0.323,0.359,0.26,0,,,162,,
948,TEX,AL,1976,616,652,76,0.321,0.341,0.25,0,,,162,,
949,ATL,NL,1975,583,739,67,0.313,0.346,0.244,0,,,161,,
950,BAL,AL,1975,682,553,90,0.326,0.373,0.252,0,,,159,,
951,BOS,AL,1975,796,709,95,0.344,0.417,0.275,1,3,2,160,,
952,CAL,AL,1975,628,723,72,0.322,0.328,0.246,0,,,161,,
953,CHC,NL,1975,712,827,75,0.338,0.368,0.259,0,,,162,,
954,CHW,AL,1975,655,703,75,0.331,0.358,0.255,0,,,161,,
955,CIN,NL,1975,840,586,108,0.353,0.401,0.271,1,1,1,162,,
956,CLE,AL,1975,688,703,79,0.327,0.392,0.261,0,,,159,,
957,DET,AL,1975,570,786,57,0.301,0.366,0.249,0,,,159,,
958,HOU,NL,1975,664,711,64,0.32,0.359,0.254,0,,,162,,
959,KCR,AL,1975,710,649,91,0.333,0.394,0.261,0,,,162,,
960,LAD,NL,1975,648,534,88,0.325,0.365,0.248,0,,,162,,
961,MIL,AL,1975,675,792,68,0.32,0.389,0.25,0,,,162,,
962,MIN,AL,1975,724,736,76,0.341,0.386,0.271,0,,,159,,
963,MON,NL,1975,601,690,75,0.317,0.348,0.244,0,,,162,,
964,NYM,NL,1975,646,625,82,0.319,0.361,0.256,0,,,162,,
965,NYY,AL,1975,681,588,83,0.325,0.382,0.264,0,,,160,,
966,OAK,AL,1975,758,606,98,0.333,0.391,0.254,1,2,3,162,,
967,PHI,NL,1975,735,694,86,0.342,0.402,0.269,0,,,162,,
968,PIT,NL,1975,712,565,92,0.323,0.402,0.263,1,4,3,161,,
969,SDP,NL,1975,552,683,71,0.31,0.335,0.244,0,,,162,,
970,SFG,NL,1975,659,671,80,0.333,0.365,0.259,0,,,161,,
971,STL,NL,1975,662,689,82,0.327,0.375,0.273,0,,,163,,
972,TEX,AL,1975,714,733,79,0.33,0.371,0.256,0,,,162,,
973,ATL,NL,1974,661,563,88,0.319,0.363,0.249,0,,,163,,
974,BAL,AL,1974,659,612,91,0.322,0.37,0.256,1,2,3,162,,
975,BOS,AL,1974,696,661,84,0.333,0.377,0.264,0,,,162,,
976,CAL,AL,1974,618,657,68,0.321,0.356,0.254,0,,,163,,
977,CHC,NL,1974,669,826,66,0.327,0.365,0.251,0,,,162,,
978,CHW,AL,1974,684,721,80,0.33,0.389,0.268,0,,,163,,
979,CIN,NL,1974,776,631,98,0.343,0.394,0.26,0,,,163,,
980,CLE,AL,1974,662,694,77,0.311,0.37,0.255,0,,,162,,
981,DET,AL,1974,620,768,72,0.303,0.366,0.247,0,,,162,,
982,HOU,NL,1974,653,632,81,0.322,0.378,0.263,0,,,162,,
983,KCR,AL,1974,667,662,77,0.327,0.364,0.259,0,,,162,,
984,LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,1,2,162,,
985,MIL,AL,1974,647,660,76,0.309,0.369,0.244,0,,,162,,
986,MIN,AL,1974,673,669,82,0.336,0.378,0.272,0,,,163,,
987,MON,NL,1974,662,657,79,0.335,0.35,0.254,0,,,161,,
988,NYM,NL,1974,572,646,71,0.311,0.329,0.235,0,,,162,,
989,NYY,AL,1974,671,623,89,0.324,0.368,0.263,0,,,162,,
990,OAK,AL,1974,689,551,90,0.321,0.373,0.247,1,3,1,162,,
991,PHI,NL,1974,676,701,80,0.32,0.373,0.261,0,,,162,,
992,PIT,NL,1974,751,657,88,0.335,0.391,0.274,1,4,3,162,,
993,SDP,NL,1974,541,830,60,0.302,0.33,0.229,0,,,162,,
994,SFG,NL,1974,634,723,72,0.322,0.358,0.252,0,,,162,,
995,STL,NL,1974,677,643,86,0.331,0.365,0.265,0,,,161,,
996,TEX,AL,1974,690,698,83,0.336,0.377,0.272,0,,,161,,
997,ATL,NL,1973,799,774,76,0.339,0.427,0.266,0,,,162,,
998,BAL,AL,1973,754,561,97,0.345,0.389,0.266,1,2,3,162,,
999,BOS,AL,1973,738,647,89,0.338,0.401,0.267,0,,,162,,
1000,CAL,AL,1973,629,657,79,0.318,0.348,0.253,0,,,162,,
1001,CHC,NL,1973,614,655,77,0.32,0.357,0.247,0,,,161,,
1002,CHW,AL,1973,652,705,77,0.324,0.372,0.256,0,,,162,,
1003,CIN,NL,1973,741,621,99,0.332,0.383,0.254,1,1,3,162,,
1004,CLE,AL,1973,680,826,71,0.315,0.387,0.256,0,,,162,,
1005,DET,AL,1973,642,674,85,0.32,0.39,0.254,0,,,162,,
1006,HOU,NL,1973,681,672,82,0.312,0.376,0.251,0,,,162,,
1007,KCR,AL,1973,755,752,88,0.339,0.381,0.261,0,,,162,,
1008,LAD,NL,1973,675,565,95,0.323,0.371,0.263,0,,,162,,
1009,MIL,AL,1973,708,731,74,0.325,0.388,0.253,0,,,162,,
1010,MIN,AL,1973,738,692,81,0.342,0.393,0.27,0,,,162,,
1011,MON,NL,1973,668,702,79,0.34,0.364,0.251,0,,,162,,
1012,NYM,NL,1973,608,588,82,0.315,0.338,0.246,1,4,2,161,,
1013,NYY,AL,1973,641,610,80,0.322,0.378,0.261,0,,,162,,
1014,OAK,AL,1973,758,615,94,0.333,0.389,0.26,1,3,1,162,,
1015,PHI,NL,1973,642,717,71,0.31,0.371,0.249,0,,,162,,
1016,PIT,NL,1973,704,693,80,0.315,0.405,0.261,0,,,162,,
1017,SDP,NL,1973,548,770,60,0.296,0.351,0.244,0,,,162,,
1018,SFG,NL,1973,739,702,88,0.335,0.407,0.262,0,,,162,,
1019,STL,NL,1973,643,603,81,0.325,0.357,0.259,0,,,162,,
1020,TEX,AL,1973,619,844,57,0.318,0.361,0.255,0,,,162,,
1021,ATL,NL,1971,643,699,82,0.312,0.385,0.257,0,,,162,,
1022,BAL,AL,1971,742,530,101,0.347,0.398,0.261,1,1,2,158,,
1023,BOS,AL,1971,691,667,85,0.322,0.397,0.252,0,,,162,,
1024,CAL,AL,1971,511,576,76,0.29,0.329,0.231,0,,,162,,
1025,CHC,NL,1971,637,648,83,0.325,0.378,0.258,0,,,162,,
1026,CHW,AL,1971,617,597,79,0.325,0.373,0.25,0,,,162,,
1027,CIN,NL,1971,586,581,79,0.3,0.366,0.241,0,,,162,,
1028,CLE,AL,1971,543,747,60,0.3,0.342,0.238,0,,,162,,
1029,DET,AL,1971,701,645,91,0.325,0.405,0.254,0,,,162,,
1030,HOU,NL,1971,585,567,79,0.302,0.34,0.24,0,,,162,,
1031,KCR,AL,1971,603,566,85,0.313,0.353,0.25,0,,,161,,
1032,LAD,NL,1971,663,587,89,0.325,0.37,0.266,0,,,162,,
1033,MIL,AL,1971,534,609,69,0.304,0.329,0.229,0,,,161,,
1034,MIN,AL,1971,654,670,74,0.323,0.372,0.26,0,,,160,,
1035,MON,NL,1971,622,729,71,0.322,0.343,0.246,0,,,162,,
1036,NYM,NL,1971,588,550,83,0.319,0.351,0.249,0,,,162,,
1037,NYY,AL,1971,648,641,81,0.328,0.36,0.254,0,,,162,,
1038,OAK,AL,1971,691,564,101,0.321,0.384,0.252,1,1,3,161,,
1039,PHI,NL,1971,558,688,67,0.298,0.35,0.233,0,,,162,,
1040,PIT,NL,1971,788,599,97,0.33,0.416,0.274,1,2,1,162,,
1041,SDP,NL,1971,486,610,61,0.293,0.332,0.233,0,,,161,,
1042,SFG,NL,1971,706,644,90,0.329,0.378,0.247,1,3,3,162,,
1043,STL,NL,1971,739,699,90,0.338,0.385,0.275,0,,,163,,
1044,WSA,AL,1971,537,660,63,0.307,0.326,0.23,0,,,159,,
1045,ATL,NL,1970,736,772,76,0.334,0.404,0.27,0,,,162,,
1046,BAL,AL,1970,792,574,108,0.344,0.401,0.257,1,1,1,162,,
1047,BOS,AL,1970,786,722,87,0.335,0.428,0.262,0,,,162,,
1048,CAL,AL,1970,631,630,86,0.309,0.363,0.251,0,,,162,,
1049,CHC,NL,1970,806,679,84,0.333,0.415,0.259,0,,,162,,
1050,CHW,AL,1970,633,822,56,0.315,0.362,0.253,0,,,162,,
1051,CIN,NL,1970,775,681,102,0.336,0.436,0.27,1,2,2,162,,
1052,CLE,AL,1970,649,675,76,0.314,0.394,0.249,0,,,162,,
1053,DET,AL,1970,666,731,79,0.322,0.374,0.238,0,,,162,,
1054,HOU,NL,1970,744,763,79,0.332,0.391,0.259,0,,,162,,
1055,KCR,AL,1970,611,705,65,0.309,0.348,0.244,0,,,162,,
1056,LAD,NL,1970,749,684,87,0.334,0.382,0.27,0,,,161,,
1057,MIL,AL,1970,613,751,65,0.319,0.358,0.242,0,,,163,,
1058,MIN,AL,1970,744,605,98,0.327,0.403,0.262,1,3,3,162,,
1059,MON,NL,1970,687,807,73,0.323,0.365,0.237,0,,,162,,
1060,NYM,NL,1970,695,630,83,0.333,0.37,0.249,0,,,162,,
1061,NYY,AL,1970,680,612,93,0.324,0.365,0.251,0,,,163,,
1062,OAK,AL,1970,678,593,89,0.325,0.392,0.249,0,,,162,,
1063,PHI,NL,1970,594,730,73,0.305,0.356,0.238,0,,,161,,
1064,PIT,NL,1970,729,664,89,0.325,0.406,0.27,1,4,3,162,,
1065,SDP,NL,1970,681,788,63,0.312,0.391,0.246,0,,,162,,
1066,SFG,NL,1970,831,826,86,0.351,0.409,0.262,0,,,162,,
1067,STL,NL,1970,744,747,76,0.331,0.379,0.263,0,,,162,,
1068,WSA,AL,1970,626,689,70,0.321,0.358,0.238,0,,,162,,
1069,ATL,NL,1969,691,631,93,0.321,0.38,0.258,1,4,3,162,,
1070,BAL,AL,1969,779,517,109,0.343,0.414,0.265,1,1,2,162,,
1071,BOS,AL,1969,743,736,87,0.333,0.415,0.251,0,,,162,,
1072,CAL,AL,1969,528,652,71,0.3,0.319,0.23,0,,,163,,
1073,CHC,NL,1969,720,611,92,0.323,0.384,0.253,0,,,163,,
1074,CHW,AL,1969,625,723,68,0.32,0.357,0.247,0,,,162,,
1075,CIN,NL,1969,798,768,89,0.335,0.422,0.277,0,,,163,,
1076,CLE,AL,1969,573,717,62,0.307,0.345,0.237,0,,,161,,
1077,DET,AL,1969,701,601,90,0.316,0.387,0.242,0,,,162,,
1078,HOU,NL,1969,676,668,81,0.33,0.352,0.24,0,,,162,,
1079,KCR,AL,1969,586,688,69,0.309,0.338,0.24,0,,,163,,
1080,LAD,NL,1969,645,561,85,0.315,0.359,0.254,0,,,162,,
1081,MIN,AL,1969,790,618,97,0.34,0.408,0.268,1,3,3,162,,
1082,MON,NL,1969,582,791,52,0.31,0.359,0.24,0,,,162,,
1083,NYM,NL,1969,632,541,100,0.311,0.351,0.242,1,2,1,162,,
1084,NYY,AL,1969,562,587,80,0.308,0.344,0.235,0,,,162,,
1085,OAK,AL,1969,740,678,88,0.329,0.376,0.249,0,,,162,,
1086,PHI,NL,1969,645,745,63,0.312,0.372,0.241,0,,,162,,
1087,PIT,NL,1969,725,652,88,0.334,0.398,0.277,0,,,162,,
1088,SDP,NL,1969,468,746,52,0.285,0.329,0.225,0,,,162,,
1089,SEP,AL,1969,639,799,64,0.316,0.346,0.234,0,,,163,,
1090,SFG,NL,1969,713,636,90,0.334,0.361,0.242,0,,,162,,
1091,STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,,
1092,WSA,AL,1969,694,644,86,0.33,0.378,0.251,0,,,162,,
1093,ATL,NL,1968,514,549,81,0.307,0.339,0.252,0,,,163,,
1094,BAL,AL,1968,579,497,91,0.304,0.352,0.225,0,,,162,,
1095,BOS,AL,1968,614,611,86,0.313,0.352,0.236,0,,,162,,
1096,CAL,AL,1968,498,615,67,0.291,0.318,0.227,0,,,162,,
1097,CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,,
1098,CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,,
1099,CIN,NL,1968,690,673,83,0.32,0.389,0.273,0,,,163,,
1100,CLE,AL,1968,516,504,86,0.293,0.327,0.234,0,,,162,,
1101,DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1,1,164,,
1102,HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,,
1103,LAD,NL,1968,470,509,76,0.289,0.319,0.23,0,,,162,,
1104,MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,,
1105,NYM,NL,1968,473,499,73,0.281,0.315,0.228,0,,,163,,
1106,NYY,AL,1968,536,531,83,0.292,0.318,0.214,0,,,164,,
1107,OAK,AL,1968,569,544,82,0.304,0.343,0.24,0,,,163,,
1108,PHI,NL,1968,543,615,76,0.294,0.333,0.233,0,,,162,,
1109,PIT,NL,1968,583,532,80,0.306,0.343,0.252,0,,,163,,
1110,SFG,NL,1968,599,529,88,0.307,0.341,0.239,0,,,163,,
1111,STL,NL,1968,583,472,97,0.298,0.346,0.249,1,2,2,162,,
1112,WSA,AL,1968,524,665,65,0.287,0.336,0.224,0,,,161,,
1113,ATL,NL,1967,631,640,77,0.307,0.372,0.24,0,,,162,,
1114,BAL,AL,1967,654,592,76,0.31,0.372,0.24,0,,,161,,
1115,BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2,2,162,,
1116,CAL,AL,1967,567,587,84,0.301,0.349,0.238,0,,,161,,
1117,CHC,NL,1967,702,624,87,0.316,0.378,0.251,0,,,162,,
1118,CHW,AL,1967,531,491,89,0.291,0.32,0.225,0,,,162,,
1119,CIN,NL,1967,604,563,87,0.297,0.372,0.248,0,,,162,,
1120,CLE,AL,1967,559,613,75,0.293,0.359,0.235,0,,,162,,
1121,DET,AL,1967,683,587,91,0.325,0.376,0.243,0,,,163,,
1122,HOU,NL,1967,626,742,69,0.317,0.364,0.249,0,,,162,,
1123,KCA,AL,1967,533,660,62,0.296,0.33,0.233,0,,,161,,
1124,LAD,NL,1967,519,595,73,0.301,0.332,0.236,0,,,162,,
1125,MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,,
1126,NYM,NL,1967,498,672,61,0.288,0.325,0.238,0,,,162,,
1127,NYY,AL,1967,522,621,72,0.296,0.317,0.225,0,,,163,,
1128,PHI,NL,1967,612,581,82,0.313,0.357,0.242,0,,,162,,
1129,PIT,NL,1967,679,693,81,0.324,0.38,0.277,0,,,163,,
1130,SFG,NL,1967,652,551,91,0.313,0.372,0.245,0,,,162,,
1131,STL,NL,1967,695,557,101,0.32,0.379,0.263,1,1,1,161,,
1132,WSA,AL,1967,550,637,76,0.288,0.326,0.223,0,,,161,,
1133,ATL,NL,1966,782,683,85,0.326,0.424,0.263,0,,,163,,
1134,BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1,1,160,,
1135,BOS,AL,1966,655,731,72,0.31,0.376,0.24,0,,,162,,
1136,CAL,AL,1966,604,643,80,0.303,0.354,0.232,0,,,162,,
1137,CHC,NL,1966,644,809,59,0.313,0.38,0.254,0,,,162,,
1138,CHW,AL,1966,574,517,83,0.297,0.331,0.231,0,,,163,,
1139,CIN,NL,1966,692,702,76,0.309,0.395,0.26,0,,,160,,
1140,CLE,AL,1966,574,586,81,0.297,0.36,0.237,0,,,162,,
1141,DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,,
1142,HOU,NL,1966,612,695,72,0.318,0.365,0.255,0,,,163,,
1143,KCA,AL,1966,564,648,74,0.294,0.337,0.236,0,,,160,,
1144,LAD,NL,1966,606,490,95,0.314,0.362,0.256,1,2,2,162,,
1145,MIN,AL,1966,663,581,89,0.316,0.382,0.249,0,,,162,,
1146,NYM,NL,1966,587,761,66,0.301,0.342,0.239,0,,,161,,
1147,NYY,AL,1966,611,612,70,0.299,0.374,0.235,0,,,160,,
1148,PHI,NL,1966,696,640,87,0.322,0.378,0.258,0,,,162,,
1149,PIT,NL,1966,759,641,92,0.329,0.428,0.279,0,,,162,,
1150,SFG,NL,1966,675,626,93,0.303,0.392,0.248,0,,,161,,
1151,STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,,
1152,WSA,AL,1966,557,659,71,0.295,0.355,0.234,0,,,159,,
1153,BAL,AL,1965,641,578,94,0.307,0.363,0.238,0,,,162,,
1154,BOS,AL,1965,669,791,62,0.327,0.4,0.251,0,,,162,,
1155,CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,,
1156,CHC,NL,1965,635,723,72,0.307,0.358,0.238,0,,,164,,
1157,CHW,AL,1965,647,555,95,0.315,0.364,0.246,0,,,162,,
1158,CIN,NL,1965,825,704,89,0.339,0.439,0.273,0,,,162,,
1159,CLE,AL,1965,663,613,87,0.315,0.379,0.25,0,,,162,,
1160,DET,AL,1965,680,602,89,0.312,0.374,0.238,0,,,162,,
1161,HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,,
1162,KCA,AL,1965,585,755,59,0.309,0.358,0.24,0,,,162,,
1163,LAD,NL,1965,608,521,97,0.312,0.335,0.245,1,2,1,162,,
1164,MIN,AL,1965,774,600,102,0.324,0.399,0.254,1,1,2,162,,
1165,MLN,NL,1965,708,633,86,0.31,0.416,0.256,0,,,162,,
1166,NYM,NL,1965,495,752,50,0.277,0.327,0.221,0,,,164,,
1167,NYY,AL,1965,611,604,77,0.299,0.364,0.235,0,,,162,,
1168,PHI,NL,1965,654,667,85,0.313,0.384,0.25,0,,,162,,
1169,PIT,NL,1965,675,580,90,0.317,0.382,0.265,0,,,163,,
1170,SFG,NL,1965,682,593,95,0.313,0.385,0.252,0,,,163,,
1171,STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,,
1172,WSA,AL,1965,591,721,70,0.304,0.35,0.228,0,,,162,,
1173,BAL,AL,1964,679,567,97,0.316,0.387,0.248,0,,,163,,
1174,BOS,AL,1964,688,793,72,0.322,0.416,0.258,0,,,162,,
1175,CHC,NL,1964,649,724,76,0.314,0.39,0.251,0,,,162,,
1176,CHW,AL,1964,642,501,98,0.32,0.353,0.247,0,,,162,,
1177,CIN,NL,1964,660,566,92,0.308,0.372,0.249,0,,,163,,
1178,CLE,AL,1964,689,693,79,0.312,0.38,0.247,0,,,164,,
1179,DET,AL,1964,699,678,85,0.319,0.395,0.253,0,,,163,,
1180,HOU,NL,1964,495,628,66,0.285,0.315,0.229,0,,,162,,
1181,KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,,
1182,LAA,AL,1964,544,551,82,0.304,0.344,0.242,0,,,162,,
1183,LAD,NL,1964,614,572,80,0.305,0.34,0.25,0,,,164,,
1184,MIN,AL,1964,737,678,79,0.322,0.427,0.252,0,,,163,,
1185,MLN,NL,1964,803,744,88,0.333,0.418,0.272,0,,,162,,
1186,NYM,NL,1964,569,776,53,0.296,0.348,0.246,0,,,163,,
1187,NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,1,2,164,,
1188,PHI,NL,1964,693,632,92,0.315,0.391,0.258,0,,,162,,
1189,PIT,NL,1964,663,636,80,0.315,0.389,0.264,0,,,162,,
1190,SFG,NL,1964,656,587,90,0.31,0.382,0.246,0,,,162,,
1191,STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2,1,162,,
1192,WSA,AL,1964,578,733,62,0.299,0.348,0.231,0,,,162,,
1193,BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,,
1194,BOS,AL,1963,666,704,76,0.312,0.4,0.252,0,,,161,,
1195,CHC,NL,1963,570,578,82,0.297,0.363,0.238,0,,,162,,
1196,CHW,AL,1963,683,544,94,0.323,0.365,0.25,0,,,162,,
1197,CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,,
1198,CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,,
1199,DET,AL,1963,700,703,79,0.327,0.382,0.252,0,,,162,,
1200,HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,,
1201,KCA,AL,1963,615,704,73,0.313,0.353,0.247,0,,,162,,
1202,LAA,AL,1963,597,660,70,0.309,0.354,0.25,0,,,161,,
1203,LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2,1,163,,
1204,MIN,AL,1963,767,602,91,0.325,0.43,0.255,0,,,161,,
1205,MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,,
1206,NYM,NL,1963,501,774,51,0.285,0.315,0.219,0,,,162,,
1207,NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,1,2,161,,
1208,PHI,NL,1963,642,578,87,0.306,0.381,0.252,0,,,162,,
1209,PIT,NL,1963,567,595,74,0.309,0.359,0.25,0,,,162,,
1210,SFG,NL,1963,725,641,88,0.316,0.414,0.258,0,,,162,,
1211,STL,NL,1963,747,628,93,0.326,0.403,0.271,0,,,162,,
1212,WSA,AL,1963,578,812,56,0.293,0.351,0.227,0,,,162,,
1213,BAL,AL,1962,652,680,77,0.314,0.387,0.248,0,,,162,,
1214,BOS,AL,1962,707,756,76,0.324,0.403,0.258,0,,,160,,
1215,CHC,NL,1962,632,827,59,0.317,0.377,0.253,0,,,162,,
1216,CHW,AL,1962,707,658,85,0.334,0.372,0.257,0,,,162,,
1217,CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,,
1218,CLE,AL,1962,682,745,80,0.312,0.388,0.245,0,,,162,,
1219,DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,,
1220,HOU,NL,1962,592,717,64,0.31,0.351,0.246,0,,,162,,
1221,KCA,AL,1962,745,837,72,0.332,0.386,0.263,0,,,162,,
1222,LAA,AL,1962,718,706,86,0.325,0.38,0.25,0,,,162,,
1223,LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,,
1224,MIN,AL,1962,798,713,91,0.338,0.412,0.26,0,,,163,,
1225,MLN,NL,1962,730,665,86,0.326,0.403,0.252,0,,,162,,
1226,NYM,NL,1962,617,948,40,0.318,0.361,0.24,0,,,161,,
1227,NYY,AL,1962,817,680,96,0.337,0.426,0.267,1,2,1,162,,
1228,PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,,
1229,PIT,NL,1962,706,626,93,0.321,0.394,0.268,0,,,161,,
1230,SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,1,2,165,,
1231,STL,NL,1962,774,664,84,0.335,0.394,0.271,0,,,163,,
1232,WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,,
